SEXE;EDAT;DATA;ESDEVENIMENT;PAUTA;RECOMPTE
Home;80 o més;02/02/2022;Crítics;Completa;1
Home;80 o més;02/02/2022;Hospitalització;No iniciada;8
Home;80 o més;02/02/2022;Hospitalització;Completa;31
Home;80 o més;02/02/2022;Defunció;Completa;1
Home;80 o més;02/02/2022;Cas;Completa;95
Home;80 o més;02/02/2022;Cas;No iniciada;2
No classificat;No classificat;02/02/2022;Cas;Completa;8
No classificat;No classificat;02/02/2022;Hospitalització;No iniciada;2
No classificat;No classificat;02/02/2022;Cas;No iniciada;102
Dona;0 a 9;01/02/2022;Cas;No iniciada;739
Dona;0 a 9;01/02/2022;Hospitalització;No iniciada;1
Dona;0 a 9;01/02/2022;Cas;Parcial;258
Home;0 a 9;01/02/2022;Cas;No iniciada;806
Home;0 a 9;01/02/2022;Hospitalització;No iniciada;1
Home;0 a 9;01/02/2022;Cas;Parcial;303
Home;0 a 9;01/02/2022;Hospitalització;Parcial;1
Dona;10 a 19;01/02/2022;Hospitalització;Parcial;2
Dona;10 a 19;01/02/2022;Cas;Completa;954
Dona;10 a 19;01/02/2022;Cas;No iniciada;196
Dona;10 a 19;01/02/2022;Hospitalització;Completa;2
Dona;10 a 19;01/02/2022;Hospitalització;No iniciada;1
Dona;10 a 19;01/02/2022;Cas;Parcial;196
Home;10 a 19;01/02/2022;Hospitalització;Completa;3
Home;10 a 19;01/02/2022;Cas;Parcial;207
Home;10 a 19;01/02/2022;Cas;Completa;997
Home;10 a 19;01/02/2022;Cas;No iniciada;227
Home;10 a 19;01/02/2022;Hospitalització;No iniciada;1
Dona;20 a 29;01/02/2022;Hospitalització;Completa;4
Dona;20 a 29;01/02/2022;Hospitalització;No iniciada;6
Dona;20 a 29;01/02/2022;Cas;Parcial;17
Dona;20 a 29;01/02/2022;Cas;Completa;705
Dona;20 a 29;01/02/2022;Cas;No iniciada;99
Home;20 a 29;01/02/2022;Cas;Completa;645
Home;20 a 29;01/02/2022;Cas;Parcial;15
Home;20 a 29;01/02/2022;Hospitalització;Completa;5
Home;20 a 29;01/02/2022;Cas;No iniciada;102
Dona;30 a 39;01/02/2022;Hospitalització;No iniciada;4
Dona;30 a 39;01/02/2022;Cas;Parcial;17
Dona;30 a 39;01/02/2022;Hospitalització;Completa;9
Dona;30 a 39;01/02/2022;Cas;No iniciada;159
Dona;30 a 39;01/02/2022;Hospitalització;Parcial;2
Dona;30 a 39;01/02/2022;Cas;Completa;1,034
Home;30 a 39;01/02/2022;Cas;No iniciada;100
Home;30 a 39;01/02/2022;Cas;Completa;720
Home;30 a 39;01/02/2022;Cas;Parcial;13
Dona;40 a 49;01/02/2022;Cas;No iniciada;131
Dona;40 a 49;01/02/2022;Hospitalització;Completa;8
Dona;40 a 49;01/02/2022;Cas;Parcial;15
Dona;40 a 49;01/02/2022;Cas;Completa;1,301
Dona;40 a 49;01/02/2022;Hospitalització;No iniciada;4
Home;40 a 49;01/02/2022;Hospitalització;Completa;11
Home;40 a 49;01/02/2022;Hospitalització;No iniciada;4
Home;40 a 49;01/02/2022;Crítics;Completa;2
Home;40 a 49;01/02/2022;Cas;Completa;976
Home;40 a 49;01/02/2022;Cas;No iniciada;121
Home;40 a 49;01/02/2022;Cas;Parcial;19
Dona;50 a 59;01/02/2022;Hospitalització;No iniciada;3
Dona;50 a 59;01/02/2022;Hospitalització;Completa;8
Dona;50 a 59;01/02/2022;Cas;Parcial;6
Dona;50 a 59;01/02/2022;Cas;No iniciada;70
Dona;50 a 59;01/02/2022;Cas;Completa;608
Dona;50 a 59;01/02/2022;Crítics;Completa;1
Home;50 a 59;01/02/2022;Crítics;Completa;7
Home;50 a 59;01/02/2022;Cas;Parcial;4
Home;50 a 59;01/02/2022;Hospitalització;Completa;23
Home;50 a 59;01/02/2022;Cas;No iniciada;55
Home;50 a 59;01/02/2022;Crítics;No iniciada;2
Home;50 a 59;01/02/2022;Cas;Completa;501
Home;50 a 59;01/02/2022;Hospitalització;No iniciada;4
Dona;60 a 69;01/02/2022;Hospitalització;Parcial;1
Dona;60 a 69;01/02/2022;Hospitalització;Completa;14
Dona;60 a 69;01/02/2022;Crítics;No iniciada;1
Dona;60 a 69;01/02/2022;Crítics;Completa;4
Dona;60 a 69;01/02/2022;Cas;Completa;408
Dona;60 a 69;01/02/2022;Cas;Parcial;2
Dona;60 a 69;01/02/2022;Cas;No iniciada;42
Dona;60 a 69;01/02/2022;Hospitalització;No iniciada;2
Home;60 a 69;01/02/2022;Crítics;No iniciada;2
Home;60 a 69;01/02/2022;Hospitalització;Completa;17
Home;60 a 69;01/02/2022;Crítics;Completa;6
Home;60 a 69;01/02/2022;Defunció;No iniciada;1
Home;60 a 69;01/02/2022;Cas;No iniciada;26
Home;60 a 69;01/02/2022;Hospitalització;No iniciada;10
Home;60 a 69;01/02/2022;Cas;Parcial;3
Home;60 a 69;01/02/2022;Hospitalització;Parcial;1
Home;60 a 69;01/02/2022;Cas;Completa;315
Dona;70 a 79;01/02/2022;Cas;Completa;300
Dona;70 a 79;01/02/2022;Cas;No iniciada;16
Dona;70 a 79;01/02/2022;Defunció;Completa;1
Dona;70 a 79;01/02/2022;Hospitalització;Completa;20
Dona;70 a 79;01/02/2022;Crítics;Completa;1
Dona;70 a 79;01/02/2022;Hospitalització;No iniciada;9
Dona;70 a 79;01/02/2022;Cas;Parcial;1
Dona;70 a 79;01/02/2022;Crítics;No iniciada;1
Home;70 a 79;01/02/2022;Crítics;Completa;5
Home;70 a 79;01/02/2022;Cas;Completa;252
Home;70 a 79;01/02/2022;Hospitalització;No iniciada;7
Home;70 a 79;01/02/2022;Defunció;Completa;3
Home;70 a 79;01/02/2022;Crítics;No iniciada;1
Home;70 a 79;01/02/2022;Cas;No iniciada;16
Home;70 a 79;01/02/2022;Hospitalització;Completa;37
Dona;80 o més;01/02/2022;Cas;Completa;313
Dona;80 o més;01/02/2022;Crítics;No iniciada;1
Dona;80 o més;01/02/2022;Defunció;No iniciada;3
Dona;80 o més;01/02/2022;Hospitalització;No iniciada;9
Dona;80 o més;01/02/2022;Cas;No iniciada;22
Dona;80 o més;01/02/2022;Hospitalització;Completa;40
Dona;80 o més;01/02/2022;Defunció;Completa;8
Dona;80 o més;01/02/2022;Cas;Parcial;3
Home;80 o més;01/02/2022;Defunció;No iniciada;1
Home;80 o més;01/02/2022;Crítics;Completa;1
Home;80 o més;01/02/2022;Hospitalització;Parcial;1
Home;80 o més;01/02/2022;Hospitalització;No iniciada;8
Home;80 o més;01/02/2022;Defunció;Completa;3
Home;80 o més;01/02/2022;Cas;Completa;188
Home;80 o més;01/02/2022;Cas;No iniciada;9
Home;80 o més;01/02/2022;Hospitalització;Completa;40
No classificat;No classificat;01/02/2022;Cas;Completa;15
No classificat;No classificat;01/02/2022;Cas;Parcial;2
No classificat;No classificat;01/02/2022;Hospitalització;No iniciada;1
No classificat;No classificat;01/02/2022;Cas;No iniciada;256
Dona;0 a 9;31/01/2022;Hospitalització;No iniciada;4
Dona;0 a 9;31/01/2022;Cas;No iniciada;961
Dona;0 a 9;31/01/2022;Cas;Parcial;375
Home;0 a 9;31/01/2022;Cas;Parcial;390
Home;0 a 9;31/01/2022;Cas;No iniciada;1,088
Home;0 a 9;31/01/2022;Hospitalització;No iniciada;4
Home;0 a 9;31/01/2022;Hospitalització;Parcial;1
Dona;10 a 19;31/01/2022;Cas;No iniciada;288
Dona;10 a 19;31/01/2022;Hospitalització;Completa;2
Dona;10 a 19;31/01/2022;Cas;Completa;1,142
Dona;10 a 19;31/01/2022;Hospitalització;No iniciada;2
Dona;10 a 19;31/01/2022;Hospitalització;Parcial;1
Dona;10 a 19;31/01/2022;Cas;Parcial;276
Home;10 a 19;31/01/2022;Hospitalització;No iniciada;3
Home;10 a 19;31/01/2022;Cas;Parcial;305
Home;10 a 19;31/01/2022;Cas;No iniciada;328
Home;10 a 19;31/01/2022;Hospitalització;Completa;2
Home;10 a 19;31/01/2022;Cas;Completa;1,281
Dona;20 a 29;31/01/2022;Cas;Parcial;17
Dona;20 a 29;31/01/2022;Hospitalització;No iniciada;6
Dona;20 a 29;31/01/2022;Cas;No iniciada;112
Dona;20 a 29;31/01/2022;Cas;Completa;887
Dona;20 a 29;31/01/2022;Crítics;Completa;1
Dona;20 a 29;31/01/2022;Hospitalització;Completa;3
Home;20 a 29;31/01/2022;Hospitalització;Completa;2
Home;20 a 29;31/01/2022;Hospitalització;Parcial;1
Home;20 a 29;31/01/2022;Hospitalització;No iniciada;1
Home;20 a 29;31/01/2022;Cas;Completa;693
Home;20 a 29;31/01/2022;Cas;Parcial;22
Home;20 a 29;31/01/2022;Cas;No iniciada;117
Home;20 a 29;31/01/2022;Crítics;Completa;1
Dona;30 a 39;31/01/2022;Hospitalització;No iniciada;6
Dona;30 a 39;31/01/2022;Hospitalització;Completa;7
Dona;30 a 39;31/01/2022;Cas;Completa;1,322
Dona;30 a 39;31/01/2022;Cas;No iniciada;173
Dona;30 a 39;31/01/2022;Cas;Parcial;33
Home;30 a 39;31/01/2022;Cas;Completa;973
Home;30 a 39;31/01/2022;Cas;No iniciada;163
Home;30 a 39;31/01/2022;Hospitalització;Completa;3
Home;30 a 39;31/01/2022;Cas;Parcial;22
Dona;40 a 49;31/01/2022;Cas;No iniciada;200
Dona;40 a 49;31/01/2022;Hospitalització;No iniciada;2
Dona;40 a 49;31/01/2022;Cas;Completa;1,755
Dona;40 a 49;31/01/2022;Cas;Parcial;23
Dona;40 a 49;31/01/2022;Crítics;Completa;2
Dona;40 a 49;31/01/2022;Hospitalització;Completa;3
Home;40 a 49;31/01/2022;Cas;Parcial;26
Home;40 a 49;31/01/2022;Hospitalització;Completa;5
Home;40 a 49;31/01/2022;Hospitalització;No iniciada;6
Home;40 a 49;31/01/2022;Defunció;No iniciada;1
Home;40 a 49;31/01/2022;Cas;Completa;1,305
Home;40 a 49;31/01/2022;Defunció;Completa;1
Home;40 a 49;31/01/2022;Crítics;No iniciada;1
Home;40 a 49;31/01/2022;Cas;No iniciada;153
Dona;50 a 59;31/01/2022;Cas;Parcial;10
Dona;50 a 59;31/01/2022;Defunció;Completa;1
Dona;50 a 59;31/01/2022;Hospitalització;Completa;7
Dona;50 a 59;31/01/2022;Cas;No iniciada;108
Dona;50 a 59;31/01/2022;Cas;Completa;845
Home;50 a 59;31/01/2022;Cas;Completa;709
Home;50 a 59;31/01/2022;Hospitalització;Completa;18
Home;50 a 59;31/01/2022;Cas;Parcial;14
Home;50 a 59;31/01/2022;Defunció;Completa;2
Home;50 a 59;31/01/2022;Crítics;Completa;3
Home;50 a 59;31/01/2022;Hospitalització;No iniciada;7
Home;50 a 59;31/01/2022;Cas;No iniciada;76
Dona;60 a 69;31/01/2022;Cas;No iniciada;69
Dona;60 a 69;31/01/2022;Hospitalització;Completa;8
Dona;60 a 69;31/01/2022;Defunció;Completa;1
Dona;60 a 69;31/01/2022;Cas;Parcial;5
Dona;60 a 69;31/01/2022;Crítics;Completa;3
Dona;60 a 69;31/01/2022;Cas;Completa;510
Dona;60 a 69;31/01/2022;Hospitalització;Parcial;1
Dona;60 a 69;31/01/2022;Crítics;No iniciada;1
Dona;60 a 69;31/01/2022;Hospitalització;No iniciada;4
Home;60 a 69;31/01/2022;Cas;No iniciada;42
Home;60 a 69;31/01/2022;Crítics;No iniciada;2
Home;60 a 69;31/01/2022;Hospitalització;Completa;20
Home;60 a 69;31/01/2022;Hospitalització;No iniciada;9
Home;60 a 69;31/01/2022;Hospitalització;Parcial;1
Home;60 a 69;31/01/2022;Cas;Completa;485
Home;60 a 69;31/01/2022;Cas;Parcial;7
Home;60 a 69;31/01/2022;Crítics;Completa;5
Home;60 a 69;31/01/2022;Defunció;Completa;1
Dona;70 a 79;31/01/2022;Cas;No iniciada;28
Dona;70 a 79;31/01/2022;Cas;Parcial;4
Dona;70 a 79;31/01/2022;Crítics;Completa;1
Dona;70 a 79;31/01/2022;Hospitalització;Completa;13
Dona;70 a 79;31/01/2022;Hospitalització;No iniciada;4
Dona;70 a 79;31/01/2022;Defunció;Completa;1
Dona;70 a 79;31/01/2022;Cas;Completa;426
Home;70 a 79;31/01/2022;Cas;Parcial;2
Home;70 a 79;31/01/2022;Defunció;Completa;5
Home;70 a 79;31/01/2022;Defunció;No iniciada;3
Home;70 a 79;31/01/2022;Cas;Completa;375
Home;70 a 79;31/01/2022;Hospitalització;Completa;30
Home;70 a 79;31/01/2022;Defunció;Parcial;2
Home;70 a 79;31/01/2022;Hospitalització;No iniciada;5
Home;70 a 79;31/01/2022;Cas;No iniciada;13
Home;70 a 79;31/01/2022;Crítics;Completa;8
Dona;80 o més;31/01/2022;Crítics;No iniciada;1
Dona;80 o més;31/01/2022;Defunció;No iniciada;2
Dona;80 o més;31/01/2022;Cas;No iniciada;32
Dona;80 o més;31/01/2022;Hospitalització;No iniciada;10
Dona;80 o més;31/01/2022;Defunció;Completa;16
Dona;80 o més;31/01/2022;Cas;Parcial;9
Dona;80 o més;31/01/2022;Crítics;Completa;2
Dona;80 o més;31/01/2022;Hospitalització;Completa;31
Dona;80 o més;31/01/2022;Cas;Completa;560
Home;80 o més;31/01/2022;Hospitalització;No iniciada;5
Home;80 o més;31/01/2022;Crítics;Completa;2
Home;80 o més;31/01/2022;Cas;Completa;296
Home;80 o més;31/01/2022;Defunció;Completa;13
Home;80 o més;31/01/2022;Hospitalització;Completa;30
Home;80 o més;31/01/2022;Cas;No iniciada;21
Home;80 o més;31/01/2022;Cas;Parcial;2
Home;80 o més;31/01/2022;Defunció;No iniciada;4
Home;80 o més;31/01/2022;Crítics;No iniciada;1
No classificat;No classificat;31/01/2022;Hospitalització;No iniciada;2
No classificat;No classificat;31/01/2022;Cas;Parcial;5
No classificat;No classificat;31/01/2022;Cas;No iniciada;311
No classificat;No classificat;31/01/2022;Cas;Completa;19
Dona;0 a 9;30/01/2022;Hospitalització;No iniciada;2
Dona;0 a 9;30/01/2022;Cas;Completa;1
Dona;0 a 9;30/01/2022;Crítics;No iniciada;1
Dona;0 a 9;30/01/2022;Cas;Parcial;304
Dona;0 a 9;30/01/2022;Hospitalització;Parcial;1
Dona;0 a 9;30/01/2022;Cas;No iniciada;705
Home;0 a 9;30/01/2022;Hospitalització;No iniciada;1
Home;0 a 9;30/01/2022;Cas;No iniciada;821
Home;0 a 9;30/01/2022;Cas;Parcial;356
Dona;10 a 19;30/01/2022;Hospitalització;Completa;4
Dona;10 a 19;30/01/2022;Cas;No iniciada;199
Dona;10 a 19;30/01/2022;Cas;Completa;862
Dona;10 a 19;30/01/2022;Cas;Parcial;194
Home;10 a 19;30/01/2022;Cas;Parcial;227
Home;10 a 19;30/01/2022;Cas;Completa;838
Home;10 a 19;30/01/2022;Hospitalització;Completa;2
Home;10 a 19;30/01/2022;Cas;No iniciada;197
Home;10 a 19;30/01/2022;Hospitalització;No iniciada;1
Dona;20 a 29;30/01/2022;Hospitalització;Completa;1
Dona;20 a 29;30/01/2022;Cas;Parcial;16
Dona;20 a 29;30/01/2022;Cas;No iniciada;64
Dona;20 a 29;30/01/2022;Cas;Completa;547
Home;20 a 29;30/01/2022;Cas;No iniciada;59
Home;20 a 29;30/01/2022;Cas;Completa;418
Home;20 a 29;30/01/2022;Cas;Parcial;8
Home;20 a 29;30/01/2022;Hospitalització;Completa;2
Dona;30 a 39;30/01/2022;Cas;Completa;939
Dona;30 a 39;30/01/2022;Hospitalització;Completa;7
Dona;30 a 39;30/01/2022;Cas;Parcial;13
Dona;30 a 39;30/01/2022;Crítics;Completa;1
Dona;30 a 39;30/01/2022;Cas;No iniciada;97
Dona;30 a 39;30/01/2022;Hospitalització;Parcial;1
Dona;30 a 39;30/01/2022;Hospitalització;No iniciada;7
Home;30 a 39;30/01/2022;Cas;Parcial;17
Home;30 a 39;30/01/2022;Cas;Completa;707
Home;30 a 39;30/01/2022;Cas;No iniciada;90
Home;30 a 39;30/01/2022;Hospitalització;Completa;2
Dona;40 a 49;30/01/2022;Cas;Completa;1,306
Dona;40 a 49;30/01/2022;Cas;Parcial;11
Dona;40 a 49;30/01/2022;Cas;No iniciada;103
Dona;40 a 49;30/01/2022;Hospitalització;Completa;4
Dona;40 a 49;30/01/2022;Hospitalització;No iniciada;1
Dona;40 a 49;30/01/2022;Crítics;Completa;2
Home;40 a 49;30/01/2022;Cas;Completa;984
Home;40 a 49;30/01/2022;Crítics;Completa;2
Home;40 a 49;30/01/2022;Hospitalització;No iniciada;2
Home;40 a 49;30/01/2022;Cas;No iniciada;87
Home;40 a 49;30/01/2022;Hospitalització;Completa;2
Home;40 a 49;30/01/2022;Cas;Parcial;11
Dona;50 a 59;30/01/2022;Hospitalització;No iniciada;3
Dona;50 a 59;30/01/2022;Crítics;Completa;3
Dona;50 a 59;30/01/2022;Cas;No iniciada;41
Dona;50 a 59;30/01/2022;Cas;Completa;582
Dona;50 a 59;30/01/2022;Defunció;No iniciada;1
Dona;50 a 59;30/01/2022;Hospitalització;Completa;4
Dona;50 a 59;30/01/2022;Cas;Parcial;5
Home;50 a 59;30/01/2022;Hospitalització;No iniciada;3
Home;50 a 59;30/01/2022;Crítics;No iniciada;2
Home;50 a 59;30/01/2022;Cas;No iniciada;47
Home;50 a 59;30/01/2022;Hospitalització;Completa;10
Home;50 a 59;30/01/2022;Crítics;Completa;1
Home;50 a 59;30/01/2022;Cas;Parcial;3
Home;50 a 59;30/01/2022;Cas;Completa;497
Dona;60 a 69;30/01/2022;Crítics;No iniciada;2
Dona;60 a 69;30/01/2022;Cas;Parcial;4
Dona;60 a 69;30/01/2022;Hospitalització;No iniciada;9
Dona;60 a 69;30/01/2022;Cas;Completa;309
Dona;60 a 69;30/01/2022;Cas;No iniciada;26
Dona;60 a 69;30/01/2022;Hospitalització;Completa;8
Dona;60 a 69;30/01/2022;Defunció;Completa;1
Home;60 a 69;30/01/2022;Cas;No iniciada;27
Home;60 a 69;30/01/2022;Cas;Completa;265
Home;60 a 69;30/01/2022;Cas;Parcial;3
Home;60 a 69;30/01/2022;Crítics;Completa;2
Home;60 a 69;30/01/2022;Crítics;No iniciada;1
Home;60 a 69;30/01/2022;Hospitalització;No iniciada;3
Home;60 a 69;30/01/2022;Hospitalització;Completa;9
Dona;70 a 79;30/01/2022;Hospitalització;Completa;7
Dona;70 a 79;30/01/2022;Cas;No iniciada;7
Dona;70 a 79;30/01/2022;Defunció;Completa;4
Dona;70 a 79;30/01/2022;Hospitalització;No iniciada;4
Dona;70 a 79;30/01/2022;Crítics;Completa;1
Dona;70 a 79;30/01/2022;Cas;Completa;203
Home;70 a 79;30/01/2022;Defunció;Completa;4
Home;70 a 79;30/01/2022;Cas;Completa;165
Home;70 a 79;30/01/2022;Cas;No iniciada;14
Home;70 a 79;30/01/2022;Crítics;Completa;3
Home;70 a 79;30/01/2022;Hospitalització;Completa;21
Home;70 a 79;30/01/2022;Hospitalització;No iniciada;2
Dona;80 o més;30/01/2022;Cas;Completa;174
Dona;80 o més;30/01/2022;Hospitalització;Parcial;1
Dona;80 o més;30/01/2022;Defunció;No iniciada;1
Dona;80 o més;30/01/2022;Hospitalització;No iniciada;6
Dona;80 o més;30/01/2022;Hospitalització;Completa;23
Dona;80 o més;30/01/2022;Cas;No iniciada;14
Dona;80 o més;30/01/2022;Defunció;Completa;4
Dona;80 o més;30/01/2022;Crítics;Completa;1
Home;80 o més;30/01/2022;Cas;Completa;109
Home;80 o més;30/01/2022;Crítics;Completa;2
Home;80 o més;30/01/2022;Cas;No iniciada;5
Home;80 o més;30/01/2022;Defunció;Completa;7
Home;80 o més;30/01/2022;Hospitalització;No iniciada;3
Home;80 o més;30/01/2022;Defunció;No iniciada;1
Home;80 o més;30/01/2022;Hospitalització;Completa;29
Home;80 o més;30/01/2022;Defunció;Parcial;1
No classificat;No classificat;30/01/2022;Hospitalització;No iniciada;1
No classificat;No classificat;30/01/2022;Cas;No iniciada;131
No classificat;No classificat;30/01/2022;Cas;Completa;13
No classificat;No classificat;30/01/2022;Cas;Parcial;4
Dona;0 a 9;29/01/2022;Hospitalització;No iniciada;1
Dona;0 a 9;29/01/2022;Cas;Parcial;274
Dona;0 a 9;29/01/2022;Cas;No iniciada;717
Home;0 a 9;29/01/2022;Cas;Parcial;344
Home;0 a 9;29/01/2022;Hospitalització;No iniciada;5
Home;0 a 9;29/01/2022;Cas;No iniciada;760
Home;0 a 9;29/01/2022;Crítics;No iniciada;1
Dona;10 a 19;29/01/2022;Cas;Parcial;198
Dona;10 a 19;29/01/2022;Cas;No iniciada;212
Dona;10 a 19;29/01/2022;Hospitalització;Completa;1
Dona;10 a 19;29/01/2022;Cas;Completa;850
Home;10 a 19;29/01/2022;Cas;No iniciada;214
Home;10 a 19;29/01/2022;Cas;Completa;828
Home;10 a 19;29/01/2022;Cas;Parcial;229
Dona;20 a 29;29/01/2022;Cas;Parcial;10
Dona;20 a 29;29/01/2022;Cas;Completa;512
Dona;20 a 29;29/01/2022;Hospitalització;No iniciada;3
Dona;20 a 29;29/01/2022;Hospitalització;Completa;9
Dona;20 a 29;29/01/2022;Cas;No iniciada;75
Home;20 a 29;29/01/2022;Cas;Completa;387
Home;20 a 29;29/01/2022;Cas;Parcial;15
Home;20 a 29;29/01/2022;Cas;No iniciada;63
Home;20 a 29;29/01/2022;Hospitalització;Completa;3
Dona;30 a 39;29/01/2022;Cas;No iniciada;131
Dona;30 a 39;29/01/2022;Cas;Parcial;15
Dona;30 a 39;29/01/2022;Hospitalització;No iniciada;3
Dona;30 a 39;29/01/2022;Hospitalització;Parcial;1
Dona;30 a 39;29/01/2022;Crítics;No iniciada;1
Dona;30 a 39;29/01/2022;Hospitalització;Completa;13
Dona;30 a 39;29/01/2022;Cas;Completa;911
Home;30 a 39;29/01/2022;Cas;No iniciada;99
Home;30 a 39;29/01/2022;Cas;Completa;642
Home;30 a 39;29/01/2022;Hospitalització;No iniciada;3
Home;30 a 39;29/01/2022;Hospitalització;Completa;5
Home;30 a 39;29/01/2022;Crítics;Completa;1
Home;30 a 39;29/01/2022;Cas;Parcial;7
Dona;40 a 49;29/01/2022;Hospitalització;Completa;3
Dona;40 a 49;29/01/2022;Cas;No iniciada;114
Dona;40 a 49;29/01/2022;Crítics;No iniciada;1
Dona;40 a 49;29/01/2022;Crítics;Completa;1
Dona;40 a 49;29/01/2022;Cas;Completa;1,206
Dona;40 a 49;29/01/2022;Hospitalització;No iniciada;5
Dona;40 a 49;29/01/2022;Cas;Parcial;18
Home;40 a 49;29/01/2022;Hospitalització;No iniciada;2
Home;40 a 49;29/01/2022;Cas;Parcial;12
Home;40 a 49;29/01/2022;Cas;No iniciada;97
Home;40 a 49;29/01/2022;Hospitalització;Completa;5
Home;40 a 49;29/01/2022;Cas;Completa;990
