setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,variant,sexe,grup_edat,index_socioeconomic,recompte
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.5),Dona,60 a 69,4,1
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.5),Dona,80 o més,3,1
27,2022,04/07/2022,10/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.5),Home,80 o més,3,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,15 a 44,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,15 a 44,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,45 a 59,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,60 a 69,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,70 a 79,3,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,70 a 79,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Dona,80 o més,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Home,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Home,60 a 69,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Home,60 a 69,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Home,80 o més,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.2),Home,80 o més,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.4),Dona,80 o més,3,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.4),Home,70 a 79,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.4),Home,80 o més,2,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,15 a 44,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,15 a 44,2,5
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,45 a 59,2,4
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,45 a 59,3,3
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,45 a 59,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,5 a 14,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,60 a 69,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Dona,60 a 69,2,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,1 i 2,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,15 a 44,2,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,15 a 44,3,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,45 a 59,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,5 a 14,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,60 a 69,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,60 a 69,2,3
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,60 a 69,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Omicron (BA.5),Home,80 o més,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Dona,15 a 44,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Dona,15 a 44,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Dona,45 a 59,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Dona,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Dona,45 a 59,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Dona,70 a 79,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Dona,70 a 79,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Home,15 a 44,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Home,15 a 44,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Home,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Home,70 a 79,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Home,80 o més,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.2),Home,80 o més,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.4),Dona,15 a 44,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.4),Dona,15 a 44,3,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Dona,15 a 44,2,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Dona,45 a 59,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Dona,45 a 59,4,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Dona,5 a 14,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Dona,60 a 69,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Dona,60 a 69,2,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Dona,60 a 69,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Dona,70 a 79,4,3
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Dona,80 o més,1,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Home,1 i 2,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Home,45 a 59,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Home,45 a 59,2,3
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Home,70 a 79,4,3
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Home,80 o més,2,3
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Home,80 o més,3,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Omicron (BA.5),Home,80 o més,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Altres,Dona,15 a 44,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Altres,Home,80 o més,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.2),Dona,15 a 44,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.2),Dona,45 a 59,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.2),Home,15 a 44,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.2),Home,15 a 44,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.2),Home,15 a 44,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.2),Home,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.2),Home,60 a 69,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.2),Home,80 o més,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.4),Dona,15 a 44,3,3
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.4),Dona,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.4),Dona,60 a 69,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.4),Dona,80 o més,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.4),Home,15 a 44,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.4),Home,70 a 79,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Dona,0,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Dona,15 a 44,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Dona,45 a 59,3,7
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Dona,60 a 69,3,5
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Dona,60 a 69,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Dona,70 a 79,3,7
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Dona,70 a 79,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Dona,80 o més,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Dona,80 o més,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,15 a 44,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,15 a 44,3,5
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,15 a 44,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,45 a 59,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,45 a 59,2,2
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,60 a 69,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,60 a 69,3,5
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,60 a 69,4,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,70 a 79,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,70 a 79,3,6
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,80 o més,2,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,80 o més,3,6
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Omicron (BA.5),Home,80 o més,4,1
26,2022,27/06/2022,03/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Delta (B.1.617.2),Dona,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.2),Dona,60 a 69,2,1
26,2022,27/06/2022,03/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.2),Dona,60 a 69,4,1
26,2022,27/06/2022,03/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.4),Dona,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.5),Dona,60 a 69,3,1
26,2022,27/06/2022,03/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.5),Dona,70 a 79,4,1
26,2022,27/06/2022,03/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.5),Dona,80 o més,3,2
26,2022,27/06/2022,03/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.5),Home,60 a 69,3,1
26,2022,27/06/2022,03/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.5),Home,70 a 79,3,1
26,2022,27/06/2022,03/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Omicron (BA.5),Home,80 o més,3,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.2),Dona,15 a 44,2,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.2),Dona,80 o més,3,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.2),Home,15 a 44,4,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.2),Home,80 o més,2,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.4),Home,1 i 2,4,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.4),Home,3 i 4,3,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,15 a 44,3,2
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,15 a 44,4,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,45 a 59,2,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,45 a 59,3,4
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,5 a 14,3,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,60 a 69,3,3
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,70 a 79,4,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Dona,80 o més,2,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Home,0,3,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Home,3 i 4,3,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Home,45 a 59,3,3
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Home,45 a 59,4,1
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Home,70 a 79,3,4
26,2022,27/06/2022,03/07/2022,64,GIRONA,6400,GIRONA,Omicron (BA.5),Home,80 o més,3,4
26,2022,27/06/2022,03/07/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Omicron (BA.5),Dona,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Omicron (BA.5),Dona,60 a 69,3,1
26,2022,27/06/2022,03/07/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Omicron (BA.5),Home,15 a 44,3,1
26,2022,27/06/2022,03/07/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Omicron (BA.5),Home,5 a 14,3,1
26,2022,27/06/2022,03/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Altres,Home,60 a 69,4,1
26,2022,27/06/2022,03/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.2),Dona,45 a 59,3,1
26,2022,27/06/2022,03/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.2),Dona,45 a 59,4,2
26,2022,27/06/2022,03/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.2),Dona,70 a 79,4,2
26,2022,27/06/2022,03/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.2),Home,15 a 44,4,3
26,2022,27/06/2022,03/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.2),Home,45 a 59,4,1
26,2022,27/06/2022,03/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.4),Home,15 a 44,4,1
26,2022,27/06/2022,03/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.5),Dona,15 a 44,2,1
26,2022,27/06/2022,03/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.5),Dona,15 a 44,3,1
26,2022,27/06/2022,03/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Omicron (BA.5),Dona,70 a 79,4,1
