id,year,epi_week,from_date,to_date,state,city,disease,num_deaths
94,1896,189602,1896-01-05,1896-01-11,PA,ALLEGHENY,TUBERCULOSIS,2
95,1896,189602,1896-01-05,1896-01-11,PA,ALLEGHENY,TYPHOID FEVER,6
96,1896,189602,1896-01-05,1896-01-11,PA,ALLEGHENY,DIPHTHERIA,3
97,1896,189602,1896-01-05,1896-01-11,PA,ALLEGHENY,WHOOPING COUGH,5
98,1896,189602,1896-01-05,1896-01-11,OH,ASHTABULA,SCARLET FEVER,1
99,1896,189601,1895-12-29,1896-01-04,NY,AUBURN,TUBERCULOSIS,1
100,1896,189602,1896-01-05,1896-01-11,MD,BALTIMORE,TUBERCULOSIS,28
101,1896,189602,1896-01-05,1896-01-11,MD,BALTIMORE,TYPHOID FEVER,1
102,1896,189602,1896-01-05,1896-01-11,MD,BALTIMORE,DIPHTHERIA,5
103,1896,189602,1896-01-05,1896-01-11,MD,BALTIMORE,WHOOPING COUGH,1
104,1896,189602,1896-01-05,1896-01-11,MI,BATTLE CREEK,TUBERCULOSIS,1
105,1896,189601,1895-12-29,1896-01-04,IL,BELLEVILLE,TUBERCULOSIS,1
106,1896,189601,1895-12-29,1896-01-04,IL,BELLEVILLE,TYPHOID FEVER,1
107,1896,189601,1895-12-29,1896-01-04,MA,BOSTON,TUBERCULOSIS,31
108,1896,189601,1895-12-29,1896-01-04,MA,BOSTON,TYPHOID FEVER,4
109,1896,189601,1895-12-29,1896-01-04,MA,BOSTON,SCARLET FEVER,1
110,1896,189601,1895-12-29,1896-01-04,MA,BOSTON,DIPHTHERIA,14
111,1896,189602,1896-01-05,1896-01-11,CT,BRISTOL,SCARLET FEVER,1
112,1896,189601,1895-12-29,1896-01-04,MA,BROCKTON,TUBERCULOSIS,1
113,1896,189601,1895-12-29,1896-01-04,MA,BROCKTON,TYPHOID FEVER,1
114,1896,189602,1896-01-05,1896-01-11,NY,BROOKLYN,TUBERCULOSIS,36
115,1896,189602,1896-01-05,1896-01-11,NY,BROOKLYN,TYPHOID FEVER,4
116,1896,189602,1896-01-05,1896-01-11,NY,BROOKLYN,SCARLET FEVER,5
117,1896,189602,1896-01-05,1896-01-11,NY,BROOKLYN,DIPHTHERIA,53
118,1896,189602,1896-01-05,1896-01-11,NY,BROOKLYN,WHOOPING COUGH,4
119,1896,189602,1896-01-05,1896-01-11,MA,CAMBRIDGE,DIPHTHERIA,3
120,1896,189601,1895-12-29,1896-01-04,SC,CHARLESTON,TUBERCULOSIS,2
121,1896,189601,1895-12-29,1896-01-04,PA,CHESTER,TUBERCULOSIS,1
122,1896,189601,1895-12-29,1896-01-04,PA,CHESTER,DIPHTHERIA,1
123,1896,189602,1896-01-05,1896-01-11,PA,CHESTER,TUBERCULOSIS,2
124,1896,189601,1895-12-29,1896-01-04,IL,CHICAGO,TUBERCULOSIS,34
125,1896,189601,1895-12-29,1896-01-04,IL,CHICAGO,TYPHOID FEVER,12
126,1896,189601,1895-12-29,1896-01-04,IL,CHICAGO,SCARLET FEVER,3
127,1896,189601,1895-12-29,1896-01-04,IL,CHICAGO,DIPHTHERIA,23
128,1896,189602,1896-01-04,1896-01-10,OH,CINCINNATI,TUBERCULOSIS,16
129,1896,189602,1896-01-04,1896-01-10,OH,CINCINNATI,TYPHOID FEVER,9
130,1896,189602,1896-01-04,1896-01-10,OH,CINCINNATI,SCARLET FEVER,1
131,1896,189602,1896-01-04,1896-01-10,OH,CINCINNATI,DIPHTHERIA,3
132,1896,189602,1896-01-04,1896-01-10,OH,CINCINNATI,WHOOPING COUGH,1
133,1896,189602,1896-01-05,1896-01-11,OH,CLEVELAND,TUBERCULOSIS,9
134,1896,189602,1896-01-05,1896-01-11,OH,CLEVELAND,TYPHOID FEVER,3
135,1896,189602,1896-01-05,1896-01-11,OH,CLEVELAND,DIPHTHERIA,2
136,1896,189602,1896-01-05,1896-01-11,IN,COLUMBUS,TUBERCULOSIS,1
137,1896,189602,1896-01-05,1896-01-11,OH,COLUMBUS,TYPHOID FEVER,1
138,1896,189602,1896-01-05,1896-01-11,OH,COLUMBUS,DIPHTHERIA,1
139,1896,189601,1895-12-29,1896-01-04,IA,COUNCIL BLUFFS,DIPHTHERIA,3
140,1896,189602,1896-01-03,1896-01-09,OH,DAYTON,TUBERCULOSIS,2
141,1896,189602,1896-01-05,1896-01-11,MI,DETROIT,TUBERCULOSIS,1
142,1896,189602,1896-01-05,1896-01-11,MI,DETROIT,DIPHTHERIA,9
143,1896,189601,1895-12-29,1896-01-04,TX,EL PASO,DIPHTHERIA,1
144,1896,189602,1896-01-04,1896-01-10,PA,ERIE,TUBERCULOSIS,2
145,1896,189602,1896-01-04,1896-01-10,PA,ERIE,TYPHOID FEVER,1
146,1896,189602,1896-01-05,1896-01-11,MA,FALL RIVER,TUBERCULOSIS,2
147,1896,189602,1896-01-05,1896-01-11,MA,FALL RIVER,TYPHOID FEVER,1
148,1896,189602,1896-01-05,1896-01-11,MA,FALL RIVER,DIPHTHERIA,1
149,1896,189601,1895-12-29,1896-01-04,MA,FITCHBURG,TUBERCULOSIS,1
150,1896,189602,1896-01-05,1896-01-11,MI,GRAND RAPIDS,TUBERCULOSIS,3
151,1896,189602,1896-01-05,1896-01-11,MI,GRAND RAPIDS,DIPHTHERIA,1
152,1896,189602,1896-01-05,1896-01-11,WI,GREEN BAY,DIPHTHERIA,1
153,1896,189602,1896-01-05,1896-01-11,MA,HAVERHILL,TUBERCULOSIS,2
154,1896,189601,1895-12-29,1896-01-04,NJ,HOBOKEN,TUBERCULOSIS,2
155,1896,189601,1895-12-29,1896-01-04,NJ,HOBOKEN,DIPHTHERIA,2
156,1896,189602,1896-01-05,1896-01-11,OH,IRONTON,DIPHTHERIA,1
157,1896,189601,1895-12-29,1896-01-04,FL,JACKSONVILLE,TUBERCULOSIS,3
158,1896,189601,1895-12-29,1896-01-04,NY,JAMESTOWN,TUBERCULOSIS,2
159,1896,189601,1895-12-30,1896-01-05,NJ,JERSEY CITY,TUBERCULOSIS,8
160,1896,189601,1895-12-30,1896-01-05,NJ,JERSEY CITY,TYPHOID FEVER,2
161,1896,189601,1895-12-30,1896-01-05,NJ,JERSEY CITY,DIPHTHERIA,6
162,1896,189602,1896-01-05,1896-01-11,PA,JOHNSTOWN,TUBERCULOSIS,1
163,1896,189601,1895-12-29,1896-01-04,MI,KALAMAZOO,TUBERCULOSIS,2
164,1896,189601,1895-12-29,1896-01-04,MA,LAWRENCE,TUBERCULOSIS,1
165,1896,189602,1896-01-05,1896-01-11,MA,LOWELL,TUBERCULOSIS,4
166,1896,189602,1896-01-05,1896-01-11,VA,LYNCHBURG,TUBERCULOSIS,2
167,1896,189602,1896-01-05,1896-01-11,NH,MANCHESTER,TYPHOID FEVER,2
168,1896,189602,1896-01-05,1896-01-11,NH,MANCHESTER,SCARLET FEVER,1
169,1896,189602,1896-01-05,1896-01-11,NH,MANCHESTER,DIPHTHERIA,1
170,1896,189602,1896-01-05,1896-01-11,OH,MASSILLON,TUBERCULOSIS,1
171,1896,189602,1896-01-05,1896-01-11,OH,MASSILLON,TYPHOID FEVER,1
172,1896,189602,1896-01-05,1896-01-11,TN,MEMPHIS,TUBERCULOSIS,3
173,1896,189602,1896-01-05,1896-01-11,TN,MEMPHIS,DIPHTHERIA,1
174,1896,189601,1895-12-31,1896-01-06,MA,MILFORD,TUBERCULOSIS,1
175,1896,189601,1895-12-31,1896-01-06,MA,MILFORD,TYPHOID FEVER,1
176,1896,189602,1896-01-05,1896-01-11,WI,MILWAUKEE,TUBERCULOSIS,6
177,1896,189602,1896-01-05,1896-01-11,WI,MILWAUKEE,TYPHOID FEVER,1
178,1896,189602,1896-01-05,1896-01-11,WI,MILWAUKEE,DIPHTHERIA,5
179,1896,189601,1895-12-29,1896-01-04,MN,MINNEAPOLIS,TUBERCULOSIS,4
180,1896,189601,1895-12-29,1896-01-04,MN,MINNEAPOLIS,DIPHTHERIA,1
181,1896,189601,1895-12-29,1896-01-04,MN,MINNEAPOLIS,WHOOPING COUGH,1
182,1896,189602,1896-01-05,1896-01-11,AL,MOBILE,TUBERCULOSIS,2
183,1896,189602,1896-01-05,1896-01-11,TN,NASHVILLE,TUBERCULOSIS,7
184,1896,189602,1896-01-05,1896-01-11,TN,NASHVILLE,TYPHOID FEVER,1
185,1896,189602,1896-01-05,1896-01-11,MA,NEW BEDFORD,TUBERCULOSIS,4
186,1896,189602,1896-01-05,1896-01-11,NJ,NEW BRUNSWICK,TYPHOID FEVER,1
187,1896,189601,1895-12-29,1896-01-04,LA,NEW ORLEANS,TUBERCULOSIS,14
188,1896,189601,1895-12-29,1896-01-04,LA,NEW ORLEANS,CHOLERA,1
189,1896,189601,1895-12-29,1896-01-04,LA,NEW ORLEANS,TYPHOID FEVER,2
190,1896,189601,1895-12-29,1896-01-04,LA,NEW ORLEANS,DIPHTHERIA,1
191,1896,189601,1895-12-29,1896-01-04,LA,NEW ORLEANS,WHOOPING COUGH,1
192,1896,189602,1896-01-05,1896-01-11,MA,NEWTON,TUBERCULOSIS,1
193,1896,189602,1896-01-05,1896-01-11,NY,NEW YORK,TUBERCULOSIS,93
194,1896,189602,1896-01-05,1896-01-11,NY,NEW YORK,TYPHOID FEVER,5
195,1896,189602,1896-01-05,1896-01-11,NY,NEW YORK,SCARLET FEVER,14
196,1896,189602,1896-01-05,1896-01-11,NY,NEW YORK,DIPHTHERIA,39
197,1896,189602,1896-01-05,1896-01-11,NY,NEW YORK,WHOOPING COUGH,7
198,1896,189601,1895-12-29,1896-01-04,MA,NORTH ADAMS,TUBERCULOSIS,1
199,1896,189601,1895-12-29,1896-01-04,NE,OMAHA,TUBERCULOSIS,1
200,1896,189601,1895-12-29,1896-01-04,NE,OMAHA,DIPHTHERIA,2
201,1896,189601,1895-12-29,1896-01-04,NE,OMAHA,WHOOPING COUGH,1
202,1896,189602,1896-01-05,1896-01-11,NE,OMAHA,TUBERCULOSIS,1
203,1896,189602,1896-01-05,1896-01-11,NE,OMAHA,DIPHTHERIA,6
204,1896,189602,1896-01-05,1896-01-11,FL,PENSACOLA,TUBERCULOSIS,2
205,1896,189602,1896-01-08,1896-01-14,VA,PETERSBURG,TUBERCULOSIS,1
206,1896,189601,1895-12-29,1896-01-04,PA,PITTSBURGH,TUBERCULOSIS,10
207,1896,189601,1895-12-29,1896-01-04,PA,PITTSBURGH,TYPHOID FEVER,7
208,1896,189601,1895-12-29,1896-01-04,PA,PITTSBURGH,DIPHTHERIA,2
209,1896,189601,1895-12-29,1896-01-04,PA,PITTSBURGH,WHOOPING COUGH,1
210,1896,189602,1896-01-05,1896-01-11,ME,PORTLAND,WHOOPING COUGH,1
211,1896,189601,1895-12-29,1896-01-04,NY,POUGHKEEPSIE,TUBERCULOSIS,1
212,1896,189602,1896-01-05,1896-01-11,RI,PROVIDENCE,TUBERCULOSIS,4
213,1896,189602,1896-01-05,1896-01-11,RI,PROVIDENCE,DIPHTHERIA,2
214,1896,189601,1895-12-29,1896-01-04,CO,PUEBLO,TUBERCULOSIS,1
215,1896,189601,1895-12-29,1896-01-04,CO,PUEBLO,SCARLET FEVER,1
216,1896,189602,1896-01-05,1896-01-11,WI,RACINE,TUBERCULOSIS,4
217,1896,189602,1896-01-07,1896-01-13,PA,READING,TUBERCULOSIS,3
218,1896,189602,1896-01-07,1896-01-13,PA,READING,TYPHOID FEVER,2
219,1896,189602,1896-01-07,1896-01-13,PA,READING,SCARLET FEVER,1
220,1896,189601,1895-12-29,1896-01-04,VA,RICHMOND,TUBERCULOSIS,3
221,1896,189602,1896-01-05,1896-01-11,VA,RICHMOND,TUBERCULOSIS,3
222,1896,189601,1895-12-29,1896-01-04,MO,ST LOUIS,TUBERCULOSIS,23
223,1896,189601,1895-12-29,1896-01-04,MO,ST LOUIS,TYPHOID FEVER,2
224,1896,189601,1895-12-29,1896-01-04,MO,ST LOUIS,SCARLET FEVER,1
225,1896,189601,1895-12-29,1896-01-04,MO,ST LOUIS,DIPHTHERIA,12
226,1896,189602,1896-01-05,1896-01-11,MO,ST LOUIS,TUBERCULOSIS,22
227,1896,189602,1896-01-05,1896-01-11,MO,ST LOUIS,SCARLET FEVER,1
228,1896,189602,1896-01-05,1896-01-11,MO,ST LOUIS,DIPHTHERIA,14
229,1896,189601,1895-12-29,1896-01-04,UT,SALT LAKE CITY,TUBERCULOSIS,1
230,1896,189601,1895-12-29,1896-01-04,UT,SALT LAKE CITY,TYPHOID FEVER,1
231,1896,189601,1895-12-29,1896-01-04,UT,SALT LAKE CITY,SCARLET FEVER,1
232,1896,189601,1895-12-29,1896-01-04,CA,SAN FRANCISCO,TUBERCULOSIS,13
233,1896,189601,1895-12-29,1896-01-04,CA,SAN FRANCISCO,TYPHOID FEVER,3
234,1896,189601,1895-12-29,1896-01-04,CA,SANTA BARBARA,TUBERCULOSIS,1
235,1896,189601,1895-12-29,1896-01-04,WA,SEATTLE,TUBERCULOSIS,1
236,1896,189602,1896-01-05,1896-01-11,MA,SOMERVILLE,TUBERCULOSIS,1
237,1896,189602,1896-01-05,1896-01-11,MA,SOMERVILLE,DIPHTHERIA,4
238,1896,189601,1895-12-29,1896-01-04,WA,SPOKANE,TUBERCULOSIS,1
239,1896,189602,1896-01-05,1896-01-11,MA,SPRINGFIELD,TUBERCULOSIS,3
240,1896,189602,1896-01-05,1896-01-11,MA,TAUNTON,TUBERCULOSIS,1
241,1896,189601,1895-12-29,1896-01-04,DC,WASHINGTON,TUBERCULOSIS,2
242,1896,189601,1895-12-29,1896-01-04,DC,WASHINGTON,TYPHOID FEVER,1
243,1896,189601,1895-12-29,1896-01-04,DC,WASHINGTON,DIPHTHERIA,4
244,1896,189601,1895-12-29,1896-01-04,DC,WASHINGTON,WHOOPING COUGH,1
245,1896,189602,1896-01-05,1896-01-11,DE,WILMINGTON,TUBERCULOSIS,2
246,1896,189602,1896-01-05,1896-01-11,DE,WILMINGTON,WHOOPING COUGH,1
247,1896,189601,1895-12-28,1896-01-03,MA,WORCESTER,TUBERCULOSIS,4
248,1896,189601,1895-12-28,1896-01-03,MA,WORCESTER,WHOOPING COUGH,2
249,1896,189602,1896-01-04,1896-01-10,NY,YONKERS,TUBERCULOSIS,3
250,1896,189602,1896-01-04,1896-01-10,NY,YONKERS,DIPHTHERIA,1
251,1896,189602,1896-01-05,1896-01-11,OH,YOUNGSTOWN,TUBERCULOSIS,2
252,1896,189602,1896-01-05,1896-01-11,OH,YOUNGSTOWN,TYPHOID FEVER,1
253,1896,189602,1896-01-05,1896-01-11,OH,YOUNGSTOWN,SCARLET FEVER,1
254,1896,189603,1896-01-12,1896-01-18,PA,ALLEGHENY,TUBERCULOSIS,1
255,1896,189603,1896-01-12,1896-01-18,PA,ALLEGHENY,TYPHOID FEVER,3
256,1896,189603,1896-01-12,1896-01-18,PA,ALLEGHENY,DIPHTHERIA,1
257,1896,189603,1896-01-12,1896-01-18,PA,ALLEGHENY,WHOOPING COUGH,1
258,1896,189602,1896-01-05,1896-01-11,NY,AUBURN,TUBERCULOSIS,1
259,1896,189602,1896-01-05,1896-01-11,NY,AUBURN,WHOOPING COUGH,1
260,1896,189603,1896-01-12,1896-01-18,MD,BALTIMORE,TUBERCULOSIS,31
261,1896,189603,1896-01-12,1896-01-18,MD,BALTIMORE,TYPHOID FEVER,4
262,1896,189603,1896-01-12,1896-01-18,MD,BALTIMORE,DIPHTHERIA,7
263,1896,189603,1896-01-12,1896-01-18,MD,BALTIMORE,WHOOPING COUGH,3
264,1896,189603,1896-01-12,1896-01-18,MI,BATTLE CREEK,TUBERCULOSIS,2
265,1896,189602,1896-01-05,1896-01-11,MA,BEVERLY,DIPHTHERIA,1
266,1896,189603,1896-01-12,1896-01-18,MA,BOSTON,TUBERCULOSIS,29
267,1896,189603,1896-01-12,1896-01-18,MA,BOSTON,TYPHOID FEVER,3
268,1896,189603,1896-01-12,1896-01-18,MA,BOSTON,SCARLET FEVER,1
269,1896,189603,1896-01-12,1896-01-18,MA,BOSTON,DIPHTHERIA,17
270,1896,189603,1896-01-12,1896-01-18,MA,BOSTON,WHOOPING COUGH,1
271,1896,189603,1896-01-12,1896-01-18,NY,BROOKLYN,TUBERCULOSIS,46
272,1896,189603,1896-01-12,1896-01-18,NY,BROOKLYN,TYPHOID FEVER,3
273,1896,189603,1896-01-12,1896-01-18,NY,BROOKLYN,SCARLET FEVER,2
274,1896,189603,1896-01-12,1896-01-18,NY,BROOKLYN,DIPHTHERIA,32
275,1896,189603,1896-01-12,1896-01-18,NY,BROOKLYN,WHOOPING COUGH,5
276,1896,189603,1896-01-12,1896-01-18,MA,CAMBRIDGE,TUBERCULOSIS,1
277,1896,189603,1896-01-12,1896-01-18,MA,CAMBRIDGE,DIPHTHERIA,2
278,1896,189603,1896-01-12,1896-01-18,PA,CARLISLE,TUBERCULOSIS,1
279,1896,189602,1896-01-05,1896-01-11,SC,CHARLESTON,TUBERCULOSIS,8
280,1896,189602,1896-01-05,1896-01-11,SC,CHARLESTON,TYPHOID FEVER,1
281,1896,189602,1896-01-05,1896-01-11,SC,CHARLESTON,DIPHTHERIA,1
282,1896,189602,1896-01-05,1896-01-11,IL,CHICAGO,TUBERCULOSIS,38
283,1896,189602,1896-01-05,1896-01-11,IL,CHICAGO,TYPHOID FEVER,12
284,1896,189602,1896-01-05,1896-01-11,IL,CHICAGO,DIPHTHERIA,43
285,1896,189602,1896-01-05,1896-01-11,IL,CHICAGO,WHOOPING COUGH,1
286,1896,189603,1896-01-11,1896-01-17,OH,CINCINNATI,TUBERCULOSIS,20
287,1896,189603,1896-01-11,1896-01-17,OH,CINCINNATI,TYPHOID FEVER,8
288,1896,189603,1896-01-11,1896-01-17,OH,CINCINNATI,DIPHTHERIA,3
289,1896,189603,1896-01-12,1896-01-18,OH,CLEVELAND,TUBERCULOSIS,5
290,1896,189603,1896-01-12,1896-01-18,OH,CLEVELAND,TYPHOID FEVER,1
291,1896,189603,1896-01-12,1896-01-18,OH,CLEVELAND,DIPHTHERIA,1
292,1896,189603,1896-01-12,1896-01-18,OH,COLUMBUS,TUBERCULOSIS,8
293,1896,189603,1896-01-12,1896-01-18,OH,COLUMBUS,SCARLET FEVER,1
294,1896,189603,1896-01-12,1896-01-18,OH,COLUMBUS,DIPHTHERIA,3
295,1896,189602,1896-01-05,1896-01-11,IA,COUNCIL BLUFFS,DIPHTHERIA,2
296,1896,189603,1896-01-10,1896-01-16,OH,DAYTON,TUBERCULOSIS,7
297,1896,189603,1896-01-10,1896-01-16,OH,DAYTON,DIPHTHERIA,1
298,1896,189601,1895-12-29,1896-01-04,CO,DENVER,TUBERCULOSIS,4
299,1896,189601,1895-12-29,1896-01-04,CO,DENVER,DIPHTHERIA,1
300,1896,189602,1896-01-05,1896-01-11,CO,DENVER,TUBERCULOSIS,4
301,1896,189602,1896-01-05,1896-01-11,CO,DENVER,DIPHTHERIA,1
302,1896,189603,1896-01-12,1896-01-18,MI,DETROIT,TUBERCULOSIS,8
303,1896,189603,1896-01-12,1896-01-18,MI,DETROIT,TYPHOID FEVER,1
304,1896,189603,1896-01-12,1896-01-18,MI,DETROIT,DIPHTHERIA,2
305,1896,189602,1896-01-05,1896-01-11,TX,EL PASO,TUBERCULOSIS,2
